DATAFLOW,freq,indic_bt,nace_r2,s_adj,unit,Country,Date,Num,OBS_FLAG
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2021-01,119.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2021-02,117.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2019-08,103.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2019-09,116.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2019-10,120.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2019-11,120.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2019-12,102.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2020-01,108.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2020-02,110.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2020-03,107.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2020-04,75,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2020-05,90.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2020-06,105.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2020-07,97.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2020-08,99.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2020-09,115.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2020-10,122,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2020-11,123.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2020-12,105.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2021-01,109.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2021-02,107.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CZ,2021-03,123.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2019-08,93.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2019-09,104.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2019-10,102.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2019-11,105.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2019-12,92.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2020-01,93.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2020-02,97.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2020-03,97.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2020-04,70.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2020-05,77.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2020-06,89.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2020-07,89.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2020-08,83.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2020-09,95.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2020-10,98,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2020-11,102,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2020-12,91.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2021-01,90.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2021-02,91.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DE,2021-03,103.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2019-08,106.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2019-09,118.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2019-10,118.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2019-11,112.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2019-12,109.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2020-01,108.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2020-02,105.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2020-03,114.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2020-04,98.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2020-05,99.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2020-06,104.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2020-07,87.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2020-08,100.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2020-09,113.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2020-10,108.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2020-11,114.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2020-12,105.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2021-01,111,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2021-02,104.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,DK,2021-03,120,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2019-08,88,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2019-09,109.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2019-10,111,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2019-11,108.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2019-12,95.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2020-01,100.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2020-02,100.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2020-03,97.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2020-04,73.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2020-05,83.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2020-06,93.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2020-07,97.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2020-08,81.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2020-09,102.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2020-10,106.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2020-11,107.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2020-12,95.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2021-01,100.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2021-02,98.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EA19,2021-03,108,s
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2019-08,114.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2019-09,119.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2019-10,123.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2019-11,124.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2019-12,112.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2020-01,110,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2020-02,117.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2020-03,120.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2020-04,102.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2020-05,106.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2020-06,110.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2020-07,101.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2020-08,110.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2020-09,117.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2020-10,125.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2020-11,121.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2020-12,113.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2021-01,113.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2021-02,111.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EE,2021-03,123,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2019-08,105,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2019-09,113.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2019-10,104.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2019-11,98.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2019-12,105.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2020-01,102.6,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2020-02,104.3,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2020-03,109.2,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2020-04,96.4,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2020-05,99.2,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2020-06,107.2,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2020-07,118.7,p
